Fixed Asset,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    Structures,117.8,140.2,148.2,149.8,166.2,179.6,190.3,196.4,201.2,221,242.2,256.6,259.6,267.8,270.1,276.5,283.1,289.5,303.5,321.9,343.7,368.2,402.6,442.1,486.9,541.3,588.6,669.9,820.2,890.4,972.7,1071.3,1212.9,1394.6,1588.1,1815.9,1930,1973.4,2090.9,2192.8,2265.9,2384.4,2540.5,2689.7,2833.7,2880.6,2981.3,3133.5,3302.4,3468.6,3636.1,3862.3,4079.6,4286.3,4577.4,4880,5119.9,5328.2,5923.6,6637.8,7254.3,7676.7,8273,7890.1,8119.6,8525.2,8771.8,9132.8,9602.5,9713,9917.6,10230.8,10698.6,11067.8
    Intellectual property products,6.7,7.8,8.4,8.6,9.5,10.1,11,12.4,13.7,15.3,17.5,19.5,21.2,23.3,25.2,27.3,29.2,31.7,34.3,37.8,42,47.3,53.1,60.1,66.3,70.9,76.7,85.7,98,106.7,117.1,129,144.4,165.3,189.2,216.9,243.4,270.8,302.2,333.2,363.2,399.6,433.6,473.6,516.2,558.5,597.7,635.5,682.2,734.5,789,861.3,938,1045.9,1157.2,1208.7,1247.1,1311.7,1369.4,1459.3,1547.1,1660.6,1744.7,1790.9,1863.1,1963,2044.8,2164.4,2265.2,2334.9,2466.3,2626.4,2804.4,2986.4
    By corporate industry group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Farms,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.4,2.7,3,3.3,3.6,4,4.6,5.8,6.9,7.9,9.2,10.7,12.9,14.8,16.5,17.3,17.4,17.4,17.4,17.6,17.9,18.2,18.8,19.6,20.1,20.3,21.4,23.3,25.6,27.9,30.4,33.6,36.2,39.9,44.5,50.3,56.5,65.1,73.2,80,86.1,94,96.1,100.3,107.7,117.4,129.6,144.1,149,152.4,155.8,161.8,165.3
        Equipment,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2,2.2,2.5,3.4,4.1,4.7,5.4,6.2,7.5,8.5,9.6,10,9.8,9.5,9.3,9.3,9.2,9.4,9.7,10.3,10.7,10.8,11.5,12.6,14.3,15.8,17.8,20.2,21.8,24,27,31.1,35.3,40.8,45.3,49.1,53,58.7,61.6,64.6,69.6,76.3,84.3,94,96.1,95.4,95,97.2,98.2
        Structures,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1.2,1.3,1.4,1.6,1.8,2,2.5,2.8,3.2,3.8,4.5,5.4,6.2,6.9,7.3,7.6,7.9,8.1,8.3,8.6,8.9,9.1,9.3,9.3,9.5,9.9,10.6,11.3,12,12.5,13.3,14.3,15.8,17.5,19.2,21.1,24.3,27.9,30.9,33.1,35.3,34.4,35.6,38.1,41,45.3,50.1,52.8,57,60.8,64.6,67.1
        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Manufacturing,38.7,47.2,52.5,52,59.5,65.6,69.7,73.8,76.6,84.8,96.9,105.7,106.9,110.6,113.9,117.2,122.3,127.5,136.1,147.9,166.2,183,203.7,225.5,248.5,270.3,291.1,323.4,392,437.9,479.9,535.2,603.9,696.3,802.1,890.7,949.6,980.2,1029.4,1091.5,1149,1206,1261.9,1327,1400.4,1443.7,1494.1,1543,1624.3,1716.7,1807.8,1902.4,2004.3,2094,2188.4,2246.9,2270.2,2301.2,2400.8,2524.9,2643.6,2801.1,2976.1,2929.7,2972.1,3087.7,3168.4,3290.7,3378.7,3424.8,3496.2,3633.4,3803.6,3945.5
        Equipment,16.7,20.5,24.7,25.1,29.4,32.2,34,37,38.6,42.6,49.1,53.8,54.6,56.5,57.8,58.2,60.1,61.9,65.7,71.5,81.1,89.5,98.6,107.5,117.2,123.7,130.6,142.7,178.6,209.2,232.9,263.2,298,343.4,399.2,441.5,464.3,468.2,484.5,514.3,541,564.4,588.8,619.1,661.8,684.1,703.8,722.8,756.3,802.7,838.2,863.6,894.8,916.8,940.3,948.4,948.1,949,972.8,998,1035.6,1082.6,1140.4,1127,1135.1,1175.4,1206.5,1224.6,1244.6,1254.5,1266.8,1295.7,1335.9,1365.4
        Structures,19.4,23.5,24.3,23.2,26,28.8,30.5,30.6,31,34.2,38.1,40.8,39.9,40.2,40.9,42.6,44.3,46.2,49.5,53.5,59.8,65.3,73.3,81.9,91.3,103.3,113.3,126.4,150.3,159.8,171.8,189.9,214.7,248.7,283,312.1,333.7,346.3,364.2,380.5,398.2,413.9,430.4,450.2,465.9,470.2,484,502.9,529.1,550,576.8,608.2,641.1,668.7,698.7,730.8,746.5,748.4,800,853.4,895.4,941,1010.5,951.8,946,972.5,986,1026.7,1049.7,1067.4,1069.9,1108.8,1169.7,1213.1
